sleep,23
,
blood,23
,
siward,25
,
scene,25
,
you,25
,
enter,27
,
second,27
,
thane,28
,
son,29
,
speak,30
,
doctor,31
,
king,33
,
exeunt,33
,
fear,33
,
murtherer,34
,
lennox,35
,
man,35
,
duncan,37
,
ill,37
,
lord,38
,
make,39
,
should,41
,
well,44
,
time,50
,
witch,50
,
hath,50
,
good,51
,
first,52
,
ross,54
,
malcolm,58
,
banquo,67
,
lady,98
,
macduff,109
,
macbeth,283
